locus	location	chrom	gene	aliases	biotype	sources	ensid	ld_block_index	ld_block
284	16q24.1	16	ENSG00000285163		lncRNA	closest	ENSG00000285163	600	chr16:85115079-86122993
284	16q24.1	16	IRF8		protein_coding	candidate	ENSG00000140968	600	chr16:85115079-86122993
286	16q24.1	16	ENSG00000285040		lncRNA	closest	ENSG00000285040	600	chr16:85115079-86122993
286	16q24.1	16	IRF8		protein_coding	candidate	ENSG00000140968	600	chr16:85115079-86122993
288	17p13.2	17	PLD2		protein_coding	candidate;closest	ENSG00000129219	609	chr17:4792966-5838014
289	17p13.1	17	ACAP1		protein_coding	candidate	ENSG00000072818	610	chr17:5838014-7414079
289	17p13.1	17	ENSG00000224647		pseudogene	closest	ENSG00000224647	610	chr17:5838014-7414079
291	17q12	17	ERBB2		protein_coding	closest	ENSG00000141736	627	chr17:38653091-40721152
291	17q12	17	GSDMB		protein_coding	candidate	ENSG00000073605	627	chr17:38653091-40721152
291	17q12	17	IKZF3		protein_coding	candidate;closest	ENSG00000161405	627	chr17:38653091-40721152
291	17q12	17	ORMDL3		protein_coding	candidate	ENSG00000172057	627	chr17:38653091-40721152
291	17q12	17	ZPBP2		protein_coding	closest	ENSG00000186075	627	chr17:38653091-40721152
292	17q21.31	17	ARHGAP27		protein_coding	candidate	ENSG00000159314	631	chr17:44979537-47798656
292	17q21.31	17	ENSG00000267446		lncRNA	closest	ENSG00000267446	631	chr17:44979537-47798656
294	17q25.1	17	ENSG00000265987		lncRNA	closest	ENSG00000265987	646	chr17:74676064-76379479
294	17q25.1	17	GRB2		protein_coding	candidate;closest	ENSG00000177885	646	chr17:74676064-76379479
302	19p13.2	19	ENSG00000167807		protein_coding	closest	ENSG00000167807	708	chr19:9127717-11173352
302	19p13.2	19	FDX2		protein_coding	closest	ENSG00000267673	708	chr19:9127717-11173352
303	19p13.2	19	TYK2		protein_coding	candidate;closest	ENSG00000105397	708	chr19:9127717-11173352
304	19p13.2	19	TYK2		protein_coding	closest	ENSG00000105397	708	chr19:9127717-11173352
316	20q13.12	20	CD40		protein_coding	candidate;closest	ENSG00000101017	910	chr20:44051536-46210417
316	20q13.12	20	NCOA5		protein_coding	candidate	ENSG00000124160	910	chr20:44051536-46210417
317	20q13.13	20	RNF114		protein_coding	closest	ENSG00000124226	912	chr20:48583442-50623121
319	22q11.21	22	UBE2L3		protein_coding	candidate;closest	ENSG00000185651	948	chr22:19924835-22002927
319	22q11.21	22	YDJC		protein_coding	closest	ENSG00000161179	948	chr22:19924835-22002927
